model,C1_recent_only,C2_bullet_summary,C3_structured_state_sheet,C4_hybrid_state_sheet
qwen3.5:4b,0.8333,0.9200,1.0000,1.0000
qwen3.5:9b,0.9200,0.9600,1.0000,1.0000
